timestamp,ax,ay,az
0,0.34277,0.1731,0.23145
2,0.20752,-0.01953,-0.01416
4,0.32568,-0.14551,-0.02075
6,0.38184,-0.29761,0.16138
8,0.59009,-0.51318,0.34546
10,0.63208,-0.50879,0.30933
12,0.63379,-0.63354,0.22388
14,0.87451,-0.91089,0.19214
16,1.11694,-0.95972,0.14697
18,0.9021,-0.84692,-0.16504
20,1.03687,-0.92969,-0.27808
31,1.96265,-1.28174,0.00513
33,1.99994,-1.13916,0.28418
35,1.99994,-0.82349,0.93945
37,1.99994,1.68604,1.99994
39,1.99994,-1.0166,-2.0
41,1.99994,-1.86108,1.96729
43,1.90356,-0.95947,0.08374
45,0.86108,-0.91699,-2.0
47,0.46777,-0.92017,-2.0
49,0.78809,-0.71216,0.60278
51,1.1084,-0.24365,1.99994
62,1.198,-0.36475,-0.50562
64,1.60962,-0.1748,-0.76392
66,1.99994,0.10742,-0.60107
68,1.99994,0.39746,-0.22607
70,1.99994,0.62036,0.20923
72,1.99994,0.7793,0.55835
74,1.99994,0.74609,0.74072
76,1.99994,0.60107,0.85449
78,1.99994,0.33545,0.8728
80,1.99994,0.04053,0.8374
82,1.9541,-0.29272,0.7334
84,1.72437,-0.56567,0.56177
95,0.81323,-0.97168,0.03564
97,0.60571,-0.82812,-0.09399
99,0.48975,-0.62695,-0.09375
101,0.42261,-0.34814,-0.08643
103,0.43652,-0.13306,0.00708
105,0.49927,-0.00342,0.05298
107,0.54687,0.08838,0.01221
109,0.52344,0.1521,-0.04858
111,0.53491,0.17798,-0.0769
113,0.52661,0.18408,-0.07764
115,0.53076,0.19678,-0.00024
117,0.49512,0.18604,0.0437
128,0.29248,0.39111,0.02246
130,0.28003,0.44922,-0.04541
132,0.25879,0.49487,-0.10425
134,0.23926,0.53149,-0.11548
136,0.23901,0.58569,-0.06738
138,0.25098,0.62109,0.00366
140,0.25146,0.65527,0.05908
142,0.24268,0.68457,0.10156
144,0.21973,0.69263,0.13672
146,0.19727,0.70312,0.13989
148,0.18384,0.69946,0.12598
150,0.18628,0.70239,0.12061
152,0.19189,0.67993,0.12524
163,0.29907,0.56055,0.18066
165,0.28247,0.56909,0.1189
167,0.22974,0.55786,0.03223
169,0.20288,0.41309,0.09497
171,0.26392,0.38599,0.21606
173,0.24194,0.29126,0.14087
175,0.16943,0.22974,0.00342
177,0.22266,0.11011,0.00537
179,0.33008,-0.03687,0.14282
181,0.53638,-0.25024,0.31543
183,0.76416,-0.26514,0.4126
185,0.74292,-0.28931,0.271
187,0.71606,-0.22314,0.01538
198,1.30127,-0.89819,0.40015
200,1.42456,-0.8894,0.43652
202,1.46191,-1.03369,0.82544
204,1.73047,0.53979,1.99994
206,0.45166,0.70557,1.99994
208,1.99994,1.60449,-2.0
210,1.99994,0.15527,-2.0
212,1.99994,-2.0,1.99994
214,1.99994,-2.0,-1.32446
216,1.99994,-1.5249,-2.0
218,1.81812,-1.41675,1.12378
220,1.32178,-0.67578,1.63281
