timestamp,ax,ay,az
0,1.02271,-0.0061,0.09961
2,1.01782,-0.0022,0.10669
4,1.0271,-0.00342,0.10205
6,1.02539,-0.0022,0.10742
8,1.01563,-0.00537,0.09985
10,1.01953,-0.00464,0.10547
12,1.01611,-0.00464,0.09741
23,1.02393,-0.00708,0.10669
25,1.02124,-0.00488,0.10303
27,1.02271,-0.00952,0.0979
29,1.021,-0.00464,0.10718
31,1.02344,-0.01245,0.11035
33,1.01343,-0.00269,0.09912
35,1.02246,-0.00684,0.104
37,1.01978,-0.00732,0.10059
39,1.01978,-0.00586,0.10474
41,1.02124,-0.01001,0.0896
43,1.01831,-0.0083,0.11499
45,1.0271,-0.00488,0.10181
56,1.02246,-0.00439,0.10669
58,1.02026,-0.00342,0.10547
60,1.01953,-0.00879,0.10693
62,1.02905,-0.00806,0.10327
64,1.02002,-0.00781,0.09668
66,1.01929,-0.00977,0.09863
68,1.0166,-0.00806,0.10083
70,1.02295,-0.00879,0.1001
72,1.02002,-0.01172,0.10376
74,1.0249,-0.00684,0.09229
76,1.02759,-0.00781,0.10229
87,1.01978,-0.0061,0.10474
89,1.01953,-0.00781,0.10596
91,1.02319,-0.00903,0.10571
93,1.02051,-0.00342,0.11548
95,1.01904,-0.00684,0.10352
97,1.02271,-0.00757,0.10059
99,1.02759,-0.00903,0.10962
101,1.02637,-0.00879,0.10889
103,1.02002,-0.01245,0.10303
105,1.02368,-0.0127,0.10059
107,1.0166,-0.00586,0.09424
118,1.02026,-0.00952,0.09717
120,1.01563,-0.00928,0.09741
122,1.01807,-0.00684,0.10986
124,1.02441,-0.00854,0.09912
126,1.01782,-0.00635,0.09766
128,1.02051,-0.00684,0.09546
130,1.021,-0.00586,0.1106
132,1.02173,-0.00513,0.10889
134,1.02051,-0.01074,0.0979
136,1.01831,-0.00342,0.09497
138,1.0188,-0.00732,0.10596
140,1.02075,-0.00684,0.08887
151,1.02124,-0.00415,0.09448
153,1.01904,-0.0061,0.0957
155,1.02173,-0.00562,0.09961
157,1.02148,0.00024,0.09644
159,1.01929,-0.00586,0.104
161,1.02539,-0.00537,0.10083
163,1.01855,-0.00854,0.09326
165,1.02515,-0.00244,0.09912
167,1.02246,-0.00854,0.09888
169,1.02002,-0.00635,0.10034
171,1.02295,-0.00708,0.09424
173,1.02344,-0.00195,0.10107
184,1.02197,-0.00342,0.09448
186,1.02051,-0.0061,0.1001
188,1.01929,-0.00195,0.10059
190,1.02393,-0.00977,0.10059
192,1.01831,-0.01294,0.0979
194,1.02026,-0.00513,0.10815
196,1.02515,-0.00879,0.09692
198,1.01733,-0.00879,0.10449
200,1.02075,-0.00513,0.10596
202,1.01514,-0.00513,0.1062
204,1.01611,-0.00488,0.10254
206,1.02075,-0.01025,0.104
217,1.01782,-0.00781,0.10791
219,1.02441,-0.00684,0.0979
221,1.01685,-0.00806,0.10571
223,1.0144,-0.00806,0.1062
225,1.01782,-0.00928,0.10571
227,1.02197,-0.00757,0.10669
229,1.02051,-0.00635,0.09399
231,1.02075,-0.00488,0.09985
233,1.02344,-0.00757,0.10913
235,1.02466,-0.00562,0.10474
237,1.01831,-0.01001,0.10547
239,1.01953,-0.00537,0.1062
250,1.02271,-0.00757,0.10059
252,1.01733,-0.00903,0.10718
254,1.01416,-0.00391,0.09741
256,1.02246,-0.00903,0.10156
258,1.01929,-0.00928,0.09717
260,1.01929,-0.00098,0.1062
262,1.021,-0.00488,0.10474
264,1.0188,-0.00342,0.1084
266,1.02417,-0.00659,0.09741
268,1.02051,-0.00708,0.0979
270,1.01465,-0.00781,0.10718
272,1.02295,-0.01123,0.10571
283,1.02075,-0.0061,0.10181
285,1.02515,-0.00342,0.09741
287,1.02441,-0.00977,0.10132
289,1.01245,-0.00464,0.10132
291,1.01489,-0.01147,0.09546
293,1.02197,-0.00635,0.10156
295,1.02515,-0.00244,0.09912
297,1.02246,-0.01001,0.09229
299,1.0249,-0.00708,0.10132
301,1.02222,-0.00391,0.09912
303,1.02759,-0.00757,0.09937
305,1.02612,-0.00854,0.09985
316,1.01782,-0.00903,0.0979
318,1.02051,-0.00439,0.0979
320,1.01733,-0.01392,0.10547
322,1.02197,-0.00635,0.10571
324,1.02148,-0.00244,0.09863
326,1.01782,-0.00781,0.09888
328,1.01855,-0.00806,0.10278
330,1.02124,-0.00244,0.09546
332,1.01855,-0.0083,0.1084
334,1.02148,-0.00903,0.10352
336,1.02246,-0.00684,0.09424
347,1.02197,-0.00903,0.104
349,1.01685,-0.00391,0.10303
351,1.01709,-0.00391,0.09888
353,1.02197,-0.0083,0.104
355,1.01855,-0.00879,0.10425
357,1.02197,-0.00562,0.10596
359,1.02368,-0.00586,0.10156
361,1.01953,-0.01221,0.09155
363,1.02417,-0.00952,0.10083
365,1.0249,-0.00366,0.10693
367,1.02563,-0.01196,0.0979
369,1.02441,-0.00562,0.10669
380,1.02686,-0.01074,0.09253
382,1.01538,-0.00781,0.10498
384,1.01807,-0.00586,0.09375
386,1.0166,-0.01123,0.10254
388,1.01978,-0.00781,0.10083
390,1.01709,-0.00879,0.10156
392,1.02612,-0.01196,0.10864
394,1.01831,-0.00537,0.10327
396,1.01831,-0.01563,0.10156
398,1.01318,-0.0083,0.10791
400,1.02148,-0.0105,0.1001
402,1.01831,-0.00757,0.10547
413,1.01855,-0.00391,0.0957
415,1.02026,-0.00635,0.10376
417,1.01465,-0.00806,0.10815
419,1.01758,-0.01318,0.10254
421,1.01855,-0.00464,0.09497
423,1.02759,-0.00635,0.10645
425,1.021,-0.0022,0.10645
427,1.01904,-0.01001,0.09985
429,1.02344,-0.0105,0.10474
431,1.01782,-0.01001,0.10864
433,1.02075,-0.00659,0.10913
435,1.01587,-0.00952,0.09644
446,1.02197,-0.00781,0.10767
448,1.01953,-0.00269,0.11157
450,1.01807,-0.00537,0.10181
452,1.01318,-0.00195,0.11157
454,1.01538,0.00171,0.11084
456,1.02002,-0.0061,0.10815
458,1.01953,0.00122,0.10522
460,1.01611,-0.00806,0.10327
462,1.02124,-0.0105,0.10571
464,1.01855,-0.00415,0.10474
466,1.01831,-0.00317,0.09766
468,1.01831,-0.00439,0.11255
479,1.01563,-0.00366,0.10645
481,1.02295,-0.00269,0.10669
483,1.02124,-0.01318,0.09521
485,1.01978,-0.01001,0.10669
487,1.02026,-0.00781,0.10742
489,1.01563,-0.00439,0.10767
491,1.02173,-0.00757,0.10645
493,1.02368,-0.00684,0.10718
495,1.02124,-0.00732,0.09668
497,1.01685,-0.0105,0.10278
499,1.01953,-0.00806,0.10571
501,1.02515,-0.00879,0.104
512,1.01514,-0.01001,0.10474
514,1.0166,-0.00806,0.10156
516,1.02173,-0.01367,0.11719
518,1.02124,-0.00806,0.10107
520,1.02148,-0.01172,0.10547
522,1.02002,-0.00244,0.10645
524,1.02222,-0.00488,0.1062
526,1.02051,-0.00342,0.10742
528,1.02075,-0.00806,0.11328
530,1.01929,-0.00977,0.09912
532,1.02173,-0.00806,0.10449
534,1.02905,-0.00317,0.10547
545,1.01733,-0.0022,0.10693
547,1.02026,-0.0061,0.1084
549,1.02173,0.0,0.10693
551,1.01953,-0.00513,0.09619
553,1.01538,-0.00586,0.09839
555,1.02637,-0.0083,0.10889
557,1.01685,-0.0083,0.10938
559,1.02295,0.00098,0.11084
561,1.02222,-0.00391,0.10938
563,1.02197,-0.00732,0.10156
565,1.02368,-0.00562,0.11035
567,1.01904,-0.01099,0.10376
578,1.02539,-0.00952,0.09009
580,1.01758,-0.00732,0.1001
582,1.01929,-0.00928,0.09595
584,1.021,-0.00708,0.10059
586,1.02344,-0.01318,0.09009
588,1.02466,-0.0083,0.10107
590,1.02222,-0.00977,0.104
592,1.02051,-0.0105,0.10205
594,1.02588,-0.00781,0.10303
