timestamp,ax,ay,az
0,1.02319,-0.01489,0.10034
2,1.02051,-0.00977,0.10303
13,1.01831,-0.01343,0.10278
15,1.01978,-0.0105,0.10303
17,1.02271,-0.00659,0.10889
19,1.02173,-0.01318,0.10767
21,1.01978,-0.00659,0.10889
23,1.02515,-0.01343,0.104
25,1.02075,-0.00415,0.10229
27,1.02295,-0.00757,0.09644
29,1.01904,-0.0188,0.10571
31,1.01807,-0.01318,0.104
33,1.02368,-0.00684,0.09619
35,1.0188,-0.00073,0.10229
46,1.01782,-0.00342,0.09131
48,1.02783,-0.00024,0.09644
50,1.02563,-0.00464,0.11304
52,1.01709,-0.00464,0.09985
54,1.01392,-0.00732,0.09937
56,1.01978,-0.00415,0.10229
58,1.02197,-0.00635,0.09521
60,1.02051,-0.00464,0.09888
62,1.02563,-0.01074,0.10938
64,1.02563,-0.00708,0.104
66,1.02441,-0.01172,0.09888
77,1.02368,-0.01025,0.10352
79,1.02148,-0.00537,0.09668
81,1.02466,-0.00513,0.10449
83,1.01978,-0.00781,0.09595
85,1.01807,-0.00366,0.09985
87,1.02002,-0.01025,0.10034
89,1.01587,-0.00757,0.09961
91,1.01343,-0.00732,0.10376
93,1.02222,-0.00342,0.10205
95,1.02026,-0.01196,0.10742
97,1.0188,-0.01709,0.10767
108,1.02686,-0.00928,0.09741
110,1.01367,-0.0105,0.10254
112,1.02441,-0.01123,0.10889
114,1.0188,-0.01001,0.09766
116,1.02393,-0.01099,0.09766
118,1.02686,-0.00635,0.10327
120,1.02271,-0.00806,0.09521
122,1.02173,-0.01074,0.11182
124,1.01538,-0.00635,0.10449
126,1.02173,-0.00366,0.10327
128,1.01831,-0.0083,0.10303
130,1.01807,-0.00806,0.10742
141,1.02222,-0.00195,0.08643
143,1.01978,-0.00391,0.10718
145,1.02271,-0.00928,0.09131
147,1.01855,-0.00708,0.09448
149,1.02759,-0.00977,0.10645
151,1.02148,-0.00635,0.11108
153,1.021,-0.00513,0.11182
155,1.02075,-0.00708,0.10864
157,1.0166,-0.0083,0.10498
159,1.01758,-0.00928,0.11475
161,1.01611,-0.00439,0.08984
172,1.02295,-0.00098,0.08936
174,1.01147,0.00122,0.10278
176,1.02466,-0.00244,0.1001
178,1.02222,-0.00391,0.10376
180,1.01685,-0.00537,0.10571
182,1.02271,-0.00366,0.10547
184,1.0144,-0.00562,0.10327
186,1.02271,-0.00439,0.10278
188,1.01904,-0.01025,0.09839
190,1.01733,-0.00757,0.10107
192,1.01904,-0.00049,0.11084
194,1.02759,-0.00781,0.10083
205,1.01929,-0.01025,0.09985
207,1.01929,-0.01123,0.09814
209,1.02222,-0.00464,0.09937
211,1.02368,-0.00244,0.10547
213,1.02905,-0.01172,0.09595
215,1.02002,-0.00488,0.10303
217,1.01978,-0.0105,0.10254
219,1.01685,-0.00342,0.09961
221,1.02466,-0.00513,0.10156
223,1.02148,-0.00586,0.09766
225,1.01831,-0.00635,0.09717
227,1.02075,-0.00757,0.10132
238,1.02124,-0.00903,0.10059
240,1.02441,-0.00317,0.10376
242,1.01953,-0.00635,0.10522
244,1.02075,-0.00952,0.09326
246,1.02344,-0.01392,0.09937
248,1.02295,-0.00781,0.10327
250,1.02368,-0.00708,0.11035
252,1.02686,-0.01074,0.11377
254,1.0166,-0.00513,0.10132
256,1.02441,-0.00708,0.10498
258,1.02319,-0.00781,0.10303
260,1.01807,-0.0105,0.10571
271,1.02515,-0.00952,0.10986
273,1.01807,-0.01538,0.09717
275,1.01221,-0.00708,0.10547
277,1.02075,-0.00781,0.10669
279,1.02026,-0.00903,0.10474
281,1.01099,-0.01147,0.10156
283,1.01855,-0.00977,0.10498
285,1.02026,-0.00635,0.10376
287,1.02271,-0.00757,0.10132
289,1.01855,-0.00781,0.09741
291,1.02539,-0.00366,0.10327
293,1.02002,-0.00781,0.10889
304,1.01758,-0.01172,0.09399
306,1.01978,-0.00952,0.10278
308,1.01538,-0.00586,0.10107
310,1.0293,-0.00854,0.10107
312,1.02686,-0.00366,0.11182
314,1.01538,-0.00195,0.1106
316,1.01709,-0.00952,0.10522
318,1.01782,-0.00098,0.10278
320,1.02002,-0.00562,0.10229
