timestamp,ax,ay,az
0,0.8916,-0.2749,0.01343
2,0.94531,-0.29834,-0.03101
4,1.07397,-0.42505,-0.13916
6,1.42773,-0.70532,-0.37061
8,1.5061,-0.9165,-0.29907
19,1.99994,1.15259,-0.29297
21,1.99994,1.45898,0.85107
23,1.0896,-0.43774,0.90527
25,1.21509,-1.00391,1.2583
27,1.99994,-0.0022,0.8374
29,1.58594,0.11401,-0.45239
31,1.39355,-0.25757,-0.50513
33,1.302,-0.02344,0.15552
35,1.05078,0.14771,0.53784
37,0.8584,0.15869,0.50122
39,0.7356,0.17017,0.20386
41,0.47021,0.13428,0.0061
52,-0.36719,0.11328,0.10278
54,-0.32251,0.20923,-0.00513
56,-0.25439,0.30469,-0.1189
58,-0.12915,0.4082,-0.27197
60,-0.02515,0.47949,-0.43091
62,0.03564,0.48511,-0.51147
64,0.0271,0.42212,-0.44214
66,0.02148,0.31909,-0.35303
68,0.01392,0.19336,-0.271
70,0.03394,0.08228,-0.2002
72,0.08398,-0.01074,-0.1416
83,-0.93677,-0.10034,-0.88794
85,-0.58911,-0.14429,-0.58008
87,0.02588,-0.23608,0.41479
89,0.31689,-0.20337,0.42944
91,0.2417,-0.13208,-0.29492
93,0.10376,-0.07324,-0.84033
95,0.2312,0.03198,-0.85645
97,0.71826,0.07935,-0.36377
99,1.95801,0.12524,0.2749
101,1.99994,0.17065,1.04004
103,1.92529,0.07739,1.04492
105,0.74292,-0.03589,0.53687
116,1.05835,-0.14282,-0.04858
118,1.1731,-0.06836,0.02954
120,0.98682,-0.04272,0.12085
122,0.80396,-0.03125,0.17773
124,0.73071,-0.0105,0.16895
126,0.74048,-0.01025,0.12402
128,0.77319,-0.01538,0.09351
130,0.80396,-0.00122,0.09912
132,0.80005,0.00879,0.13477
134,0.7605,0.0144,0.17163
136,0.70654,0.01782,0.21289
138,0.68774,0.02393,0.21582
149,0.63525,-0.02905,0.2605
151,0.62329,-0.04712,0.22217
153,0.61841,-0.05859,0.17505
155,0.62915,-0.04468,0.15137
157,0.63745,-0.02441,0.14868
159,0.646,-0.00562,0.14819
161,0.64307,0.01294,0.146
163,0.64209,0.00879,0.13818
165,0.64136,0.02173,0.11646
167,0.64136,0.02954,0.11304
169,0.63647,0.03809,0.10278
171,0.62598,0.03271,0.12183
182,0.64941,-0.03882,0.13501
184,0.71729,-0.073,0.12671
186,0.71997,-0.02612,0.15039
188,0.6604,0.02661,0.14331
190,0.68066,0.01538,0.14209
192,0.74414,0.01099,0.14453
194,0.83398,-0.01123,0.15088
196,0.93237,-0.00854,0.15649
198,1.05615,-0.02368,0.18286
200,1.39478,-0.09668,0.12769
202,1.99994,-0.25342,-0.08325
204,1.99994,-0.573,-1.23364
215,1.99994,-0.07837,-1.1687
217,1.97876,-0.21948,-1.40186
219,1.57983,-0.1167,0.24268
221,1.37524,0.03955,1.15063
223,1.31323,-0.01636,0.74634
225,1.41968,-0.02026,-0.00269
227,1.18115,0.01514,-0.31787
229,0.8125,0.03345,-0.07813
231,0.60156,0.14038,0.19482
233,0.48706,0.24072,0.20312
235,0.3728,0.24463,0.12524
237,0.20337,0.22217,0.09033
248,-0.3728,0.40283,0.08032
250,-0.34497,0.41528,-0.09814
252,-0.3103,0.40137,-0.25391
254,-0.21167,0.39941,-0.396
256,-0.14233,0.41406,-0.4248
258,-0.10205,0.40796,-0.41089
260,-0.09497,0.39673,-0.36035
262,-0.10571,0.36133,-0.28711
264,-0.12476,0.3103,-0.22852
266,-0.12793,0.24341,-0.19507
268,-0.11865,0.17798,-0.16699
279,0.1394,-0.1958,-0.01929
281,1.99994,-1.34619,-0.19995
283,1.99994,0.42163,1.99994
285,-1.85156,-0.23413,-2.0
287,-0.13208,-0.09814,1.54346
289,0.32544,-0.07227,1.99994
291,-0.53345,-0.10815,-0.76196
293,-0.42871,-0.05322,-2.0
295,0.04175,-0.1936,-0.75684
