timestamp,ax,ay,az
0,1.02344,-0.00269,0.10278
11,1.01953,-0.00732,0.10767
13,1.01758,-0.00757,0.11133
15,1.02563,-0.00537,0.10449
17,1.02002,-0.00732,0.10327
19,1.01807,-0.0127,0.10132
21,1.02466,-0.00854,0.09644
23,1.01587,-0.0022,0.10303
25,1.02539,-0.00854,0.0979
27,1.02075,-0.0061,0.10278
29,1.02051,-0.00757,0.09399
31,1.01587,-0.00757,0.104
33,1.01709,-0.00708,0.11035
44,1.01367,-0.00586,0.11597
46,1.01416,-0.00757,0.11157
48,1.01831,-0.00806,0.10303
50,1.01978,-0.00732,0.1123
52,1.02515,-0.00757,0.09692
54,1.01953,-0.00537,0.09424
56,1.0144,-0.00146,0.11133
58,1.021,-0.00708,0.10132
60,1.01855,-0.00635,0.10889
62,1.02026,-0.00928,0.11133
64,1.01514,-0.00562,0.09814
75,1.02222,-0.01025,0.10474
77,1.02075,-0.01001,0.09399
79,1.02295,-0.00806,0.10059
81,1.01929,-0.01196,0.104
83,1.02075,-0.01416,0.09351
85,1.02075,-0.00952,0.10034
87,1.02124,-0.00781,0.10034
89,1.02148,-0.01123,0.10815
91,1.02271,-0.00464,0.1001
93,1.02295,-0.00903,0.09595
95,1.02246,-0.01025,0.10742
106,1.03052,-0.01074,0.09985
108,1.02563,-0.01147,0.10229
110,1.0188,-0.0105,0.08936
112,1.02368,-0.00537,0.09766
114,1.01904,-0.00879,0.104
116,1.01904,-0.00757,0.10938
118,1.02637,-0.00903,0.09814
120,1.02319,-0.00122,0.1001
122,1.02344,-0.01514,0.1062
124,1.02173,-0.00781,0.09863
126,1.02075,-0.01025,0.1084
137,1.021,-0.00952,0.10547
139,1.02148,-0.00732,0.10547
141,1.02417,-0.00879,0.1123
143,1.01758,-0.00269,0.09692
145,1.02344,-0.00293,0.09619
147,1.03052,-0.00439,0.10474
149,1.02539,-0.00928,0.09448
151,1.02173,-0.00903,0.10352
153,1.02222,-0.0105,0.10962
155,1.02026,-0.00781,0.09814
157,1.02002,-0.00659,0.10132
159,1.02002,-0.00464,0.10278
170,1.01367,-0.01123,0.10889
172,1.01563,-0.01074,0.10889
174,1.02222,-0.00439,0.10181
176,1.02466,-0.0083,0.09937
178,1.01807,-0.00928,0.10962
180,1.01904,-0.00244,0.09888
182,1.01782,-0.00781,0.10718
184,1.02026,-0.00732,0.10181
186,1.02466,-0.00635,0.10449
188,1.02002,-0.00586,0.10571
190,1.021,-0.00635,0.10425
192,1.01953,-0.00757,0.1062
203,1.02319,-0.00439,0.09424
205,1.02246,-0.00464,0.10156
207,1.01978,-0.00806,0.09985
209,1.02637,-0.00635,0.0979
211,1.0144,-0.00854,0.10278
213,1.02441,-0.00562,0.10229
215,1.02612,-0.00879,0.10327
217,1.02173,-0.00952,0.10205
219,1.01855,-0.00757,0.10352
221,1.01929,-0.00977,0.10571
223,1.02393,-0.00854,0.09961
225,1.02271,-0.01123,0.10498
236,1.01416,-0.00952,0.09912
238,1.01758,-0.01245,0.09448
240,1.01636,-0.00195,0.09888
242,1.01807,-0.00439,0.10889
244,1.02222,-0.01123,0.09277
246,1.02368,-0.00366,0.09814
248,1.02515,-0.0105,0.10498
250,1.02393,-0.00195,0.09644
252,1.02124,-0.00269,0.10156
254,1.021,-0.00415,0.1001
256,1.02393,-0.00317,0.11035
258,1.02246,-0.00854,0.10547
