timestamp,ax,ay,az
0,-0.03247,0.55688,-0.58276
2,0.01611,0.47095,-0.47412
4,0.07349,0.42651,-0.24341
6,0.09741,0.46045,-0.0332
8,-0.03467,0.47192,-0.06055
10,-0.17773,0.47949,-0.05688
12,-0.22461,0.51831,-0.02295
14,-0.29907,0.60498,0.26147
16,-0.34619,0.68213,0.47559
27,0.30713,0.25659,0.41455
29,0.2522,0.2439,0.55078
31,0.28003,0.3252,0.65771
33,0.19263,0.31763,0.57495
35,0.26782,0.12036,0.39087
37,0.36182,0.05371,0.42725
39,0.21436,0.06714,0.45093
41,0.22607,-0.18384,0.24756
43,0.32788,-0.39111,0.17456
45,0.45728,-0.64746,0.33008
47,0.76685,-0.82544,0.32227
49,0.71509,-0.94727,0.1499
60,1.99994,-1.31738,0.08447
62,1.99994,-1.2771,0.02832
64,1.99994,-1.28296,-0.15967
66,1.99994,-1.29663,-0.45874
68,1.99994,-1.00903,-0.83887
70,1.99994,1.07324,1.48193
72,1.99994,1.99994,-0.57349
74,0.06543,-0.19482,-1.16699
76,0.53809,-0.79541,-0.77759
78,1.21265,-0.6001,0.4436
80,1.28125,-0.27441,0.69434
82,0.8645,-0.21802,0.26367
93,0.00537,0.17896,0.15991
95,0.12842,0.36597,0.12329
97,0.30078,0.57959,-0.19702
99,0.43799,0.76221,-0.46167
101,0.552,0.88916,-0.60937
103,0.65137,0.93188,-0.65625
105,0.82056,0.88257,-0.85571
107,1.24829,0.65039,-0.95581
109,1.99994,-1.32227,-2.0
111,1.99994,-0.42407,1.99994
113,1.15771,0.60229,1.8418
115,0.15308,0.55688,-2.0
126,1.48853,-0.65479,0.50024
128,1.57983,-0.65137,-0.27856
130,1.33398,-0.65527,-0.67603
132,0.97607,-0.63354,-0.25122
134,0.79443,-0.61572,0.19946
136,0.67407,-0.59912,0.35767
138,0.53589,-0.57153,0.29004
140,0.44995,-0.53662,0.04565
142,0.38208,-0.50757,-0.1123
144,0.43042,-0.50903,-0.08423
146,0.47559,-0.50854,0.05273
157,0.44263,-0.26807,-0.11279
159,0.40063,-0.20215,-0.1084
161,0.30322,-0.14355,-0.18311
163,0.2627,-0.06714,-0.22949
165,0.25073,0.00903,-0.18823
167,0.24731,0.08398,-0.10498
169,0.23706,0.1665,-0.03027
171,0.22974,0.25122,-0.01685
173,0.23877,0.32495,-0.02832
175,0.21704,0.39258,-0.05615
177,0.20605,0.44434,-0.1106
188,0.19971,0.53784,0.34863
190,0.21143,0.52246,0.47412
192,0.19238,0.49609,0.59741
194,0.23828,0.43555,0.68408
196,0.3269,0.40112,0.70288
198,0.29687,0.37646,0.74072
200,0.31128,0.35156,0.7666
202,0.29175,0.36133,0.77173
204,0.2644,0.4209,0.82739
206,0.3877,0.51392,0.82471
208,0.12256,0.90723,0.62451
210,-0.14868,0.77539,0.51025
212,0.03296,0.58423,0.47998
214,0.19043,0.37671,0.65112
225,-0.14404,-0.08936,0.83936
227,0.18677,-0.35156,0.93945
229,0.29077,-0.50708,0.74365
231,0.31152,-0.66284,0.3479
233,0.32861,-0.60059,0.26978
235,0.41113,-0.76953,0.32642
237,0.77417,-0.89868,0.17236
239,0.79614,-0.94287,0.15063
241,1.16748,-1.10522,0.26636
243,1.43262,-1.20435,0.21948
245,1.68237,-1.24902,0.15894
247,1.74414,-1.21143,-0.08862
258,-1.18115,-0.4978,1.22217
260,-0.70996,-1.13403,0.44214
262,1.99994,-0.83569,0.36743
264,1.83643,-0.32275,1.54346
266,1.16284,-0.27515,0.76636
268,1.19067,-0.22607,0.43921
270,1.02002,-0.10986,-0.21826
272,0.83887,-0.19653,-0.7522
274,1.06177,-0.21729,-0.43457
276,0.92358,-0.24365,0.23389
278,0.70874,-0.3689,0.06763
289,0.11548,0.64014,0.30493
291,0.15576,1.12671,0.78101
293,0.34814,1.42285,0.36523
295,0.55176,1.47534,-0.13477
297,0.78833,1.44775,-0.61694
299,0.92651,1.44165,-0.85376
301,0.98486,1.35303,-0.80542
303,0.98315,1.20215,-0.76978
305,0.99658,0.98364,-0.79321
307,1.00708,0.69727,-0.87231
309,0.9707,0.39526,-0.9043
311,0.89355,0.11938,-0.87671
322,1.99994,-1.01587,0.03223
324,0.57397,-0.57129,1.99994
326,0.05859,-0.68994,1.93872
328,0.09961,-0.65649,0.38794
330,0.2915,-0.7644,-0.01831
332,0.76172,-0.9646,0.22119
334,0.98511,-1.08618,0.5022
336,0.97266,-1.05347,0.19263
338,0.66968,-0.93311,-0.16211
340,0.41089,-0.81714,-0.26025
342,0.39746,-0.6897,-0.19434
353,0.17139,-0.03394,-0.14038
355,0.16016,0.03857,-0.09619
357,0.12598,0.0957,-0.18579
359,0.13354,0.14087,-0.19019
361,0.20142,0.17725,-0.18555
363,0.19971,0.19604,-0.00293
365,0.24512,0.2229,0.10669
367,0.29199,0.25781,0.12769
369,0.36157,0.29028,0.16626
371,0.40869,0.3501,0.20142
373,0.47998,0.39746,0.29346
375,0.51587,0.46558,0.33325
377,0.39355,0.50562,0.39697
388,0.05151,0.51782,0.65015
390,0.08691,0.50464,0.60327
392,0.09424,0.38037,0.72021
394,0.19507,0.41895,0.68188
396,0.0459,0.60962,0.66602
398,-0.12549,0.79102,0.66138
400,-0.1272,0.62256,0.65894
402,0.08936,0.57227,0.51367
404,0.09717,0.46704,0.50684
406,0.17798,0.26294,0.49487
408,0.13501,0.38745,0.68677
410,0.07471,0.29907,0.75952
412,0.05908,0.28296,0.60107
423,0.2644,-0.43872,0.37134
425,0.396,-0.70581,0.70996
427,0.93188,-1.1582,0.82153
429,1.33423,-1.27075,0.8457
431,1.06909,-1.05591,0.51636
433,0.81543,-0.98389,0.13281
435,0.92212,-1.02075,0.27661
437,1.54443,-1.23096,0.67261
439,1.99994,-1.50513,0.96729
441,1.99994,-1.50146,1.47388
443,1.99994,-1.73877,1.99994
445,1.21216,1.43628,-2.0
456,0.65039,-0.5918,1.63843
458,0.20288,-0.60547,0.0752
460,0.34912,-0.79736,0.09351
462,0.63721,-0.7688,0.70825
464,0.69653,-0.65039,0.63037
466,0.71777,-0.65625,-0.6543
468,0.51465,-0.71411,-1.03882
470,0.45239,-0.69556,-0.76367
472,0.42407,-0.46069,-0.06104
474,0.37793,-0.06421,0.14282
476,0.29712,0.5498,0.35132
487,0.96631,1.70337,-0.771
489,1.06104,1.56592,-0.79272
491,1.09302,1.35132,-0.82666
493,1.08008,1.05127,-0.91089
495,1.04321,0.72119,-0.95435
497,0.99243,0.37622,-0.99731
499,0.90332,0.05542,-0.92627
501,0.8186,-0.24609,-0.75415
503,0.70337,-0.50903,-0.55884
505,1.1394,-0.94385,-0.63086
507,1.99994,-1.83325,-2.0
509,1.99994,-1.35083,0.07129
520,0.17773,-0.76099,-0.28589
522,0.45825,-0.77417,-0.41919
524,0.6582,-0.68042,-0.19531
526,0.69604,-0.56958,-0.11328
528,0.73364,-0.48096,-0.31177
530,0.53076,-0.2959,-0.26245
532,0.4043,-0.16675,-0.35986
534,0.29614,-0.04956,-0.24146
536,0.25513,0.06445,-0.11353
538,0.24707,0.14941,-0.02612
540,0.19067,0.21582,0.14355
551,0.59814,0.14526,0.10254
553,0.62646,0.13477,0.1731
555,0.62231,0.19263,0.27197
557,0.57861,0.25757,0.30029
559,0.45679,0.33154,0.31152
561,0.3457,0.39331,0.28198
563,0.27759,0.43579,0.22119
565,0.21143,0.4375,0.23926
567,0.21411,0.40063,0.27905
569,0.2561,0.39185,0.31348
571,0.26392,0.4021,0.25366
573,0.25464,0.38989,0.30493
575,0.23535,0.38086,0.31152
586,-0.04468,0.49829,0.40942
588,-0.06934,0.44922,0.42871
590,-0.02881,0.40381,0.46924
592,0.01196,0.31104,0.43872
594,0.15332,0.01123,0.42554
596,0.1731,0.18384,0.4585
598,-0.00757,0.25366,0.56519
600,0.00049,0.03418,0.43579
602,0.13745,-0.06592,0.37476
604,0.13306,-0.10156,0.62964
606,0.17847,-0.31274,0.67578
608,0.14819,-0.28931,0.65356
619,1.77612,-1.42041,0.4126
621,1.99994,-1.57446,0.65234
623,1.69775,-1.29321,0.53271
625,1.3374,-1.04541,0.2937
627,1.83618,-1.08496,0.29956
629,1.99994,-1.38159,0.16309
631,1.99994,-1.35962,-0.38623
633,1.99994,-0.01147,1.31274
635,1.99994,1.50244,0.70093
637,0.49805,-0.10571,-1.7041
639,1.74438,-0.30273,-2.0
641,1.99994,0.02515,-0.80664
652,0.4729,-0.40771,-0.36206
654,0.29126,-0.36475,0.01001
656,0.0708,-0.33789,0.4209
658,-0.04492,-0.15576,0.95874
660,0.01343,0.20239,0.94702
662,0.20679,0.52271,0.26782
664,0.34351,0.7627,-0.00073
666,0.52759,1.06055,0.05322
668,0.70557,1.24902,-0.22705
670,0.80615,1.24756,-0.38794
672,0.90088,1.15405,-0.68774
674,1.07324,0.95679,-1.07178
685,0.17529,-0.09399,-0.75171
687,0.44092,-0.35132,0.21924
689,0.87549,-0.72876,0.67358
691,1.04541,-0.96997,0.3833
693,1.04248,-1.0979,-0.3064
695,0.87085,-1.10571,-0.63818
697,0.78198,-1.0542,-0.44189
699,0.64404,-0.97412,-0.01294
701,0.58765,-0.87061,0.11597
703,0.45483,-0.75879,-0.00903
705,0.32104,-0.63501,-0.24487
716,0.3606,-0.04687,-0.43359
718,0.42285,-0.00488,-0.3562
720,0.50903,0.03223,-0.22461
722,0.55933,0.05347,-0.21802
724,0.59082,0.0625,-0.35425
726,0.50317,0.073,-0.3689
728,0.38501,0.11816,-0.27393
730,0.38428,0.15967,-0.12305
732,0.3894,0.19409,-0.04761
734,0.375,0.23657,-0.03027
736,0.29541,0.28711,-0.02612
747,0.18799,0.44531,0.08398
749,0.1687,0.44067,0.11597
751,0.15332,0.43384,0.21313
753,0.15039,0.43506,0.25952
755,0.13647,0.45679,0.33765
757,0.10913,0.44727,0.44238
759,0.13159,0.42432,0.43384
761,0.15698,0.42676,0.51099
763,0.05054,0.55811,0.479
