timestamp,ax,ay,az
0,1.02173,-0.00903,0.09888
2,1.02563,-0.00977,0.09766
4,1.0188,-0.00854,0.10156
6,1.02319,-0.01196,0.10229
8,1.02368,-0.0105,0.09741
10,1.02051,-0.0061,0.10303
12,1.02417,-0.0061,0.10889
14,1.01929,-0.00439,0.10156
16,1.02319,-0.00464,0.10034
18,1.02319,-0.0127,0.09229
20,1.02197,-0.00122,0.09375
22,1.0188,-0.00781,0.10498
33,1.02417,-0.00708,0.10693
35,1.01831,-0.00024,0.10962
37,1.01709,-0.01025,0.10083
39,1.0271,-0.00391,0.09814
41,1.02148,0.00024,0.09448
43,1.02393,-0.00244,0.10815
45,1.01563,-0.00098,0.10669
47,1.01855,-0.00464,0.10352
49,1.01978,-0.00244,0.10742
51,1.01636,-0.00684,0.10352
53,1.01929,-0.00854,0.10449
64,1.02344,-0.0022,0.10962
66,1.02612,-0.00317,0.10547
68,1.02075,-0.00562,0.09521
70,1.02148,-0.0083,0.10522
72,1.01782,-0.00806,0.09619
74,1.01685,-0.00415,0.09399
76,1.01709,-0.00562,0.11328
78,1.01904,-0.00269,0.1001
80,1.02051,-0.00806,0.10913
82,1.01294,-0.00732,0.09253
84,1.01904,-0.00464,0.10669
95,1.02344,-0.00854,0.09351
97,1.0166,-0.01245,0.09937
99,1.02466,-0.01221,0.11328
101,1.02026,-0.00537,0.10547
103,1.01733,-0.00464,0.11133
105,1.02148,-0.00732,0.09375
107,1.01904,-0.00708,0.09692
109,1.02271,-0.01221,0.09912
111,1.02271,-0.01489,0.10376
113,1.02588,-0.00977,0.10278
115,1.02686,-0.01318,0.10083
117,1.02344,-0.01367,0.10034
128,1.02148,-0.00952,0.09692
130,1.021,-0.0083,0.10034
132,1.01611,-0.00952,0.1106
134,1.02246,-0.00879,0.10547
136,1.01685,-0.00977,0.0979
138,1.02124,-0.00049,0.10645
140,1.021,-0.01318,0.11108
142,1.02588,-0.0144,0.09497
144,1.02368,-0.00464,0.10596
146,1.02319,-0.0083,0.11035
148,1.01807,-0.01025,0.11011
159,1.02271,-0.00488,0.10327
161,1.01685,-0.00806,0.11304
163,1.01538,-0.00537,0.09814
165,1.01514,-0.00098,0.10303
167,1.01904,-0.00562,0.11255
169,1.01807,-0.0061,0.11328
171,1.01465,-0.00342,0.09863
173,1.02148,-0.00098,0.10083
175,1.01831,0.00122,0.10498
177,1.01855,-0.00488,0.10693
179,1.02124,-0.00513,0.10645
181,1.01953,-0.00415,0.11304
192,1.02173,-0.00488,0.10205
194,1.01196,-0.00659,0.10596
196,1.02246,-0.00244,0.09766
198,1.01807,-0.00586,0.10791
200,1.02002,-0.00049,0.11426
202,1.01807,-0.0083,0.10693
204,1.02466,-0.0022,0.10156
206,1.0188,-0.00415,0.09155
208,1.02417,-0.00317,0.10596
210,1.02563,-0.00708,0.09302
212,1.02197,-0.00928,0.10034
214,1.02026,-0.00415,0.09912
225,1.02393,-0.00903,0.10986
227,1.02124,-0.00781,0.10718
229,1.02563,0.0,0.09546
231,1.02246,-0.00269,0.09375
233,1.0188,-0.00781,0.10425
235,1.02222,-0.00586,0.09717
237,1.01611,-0.00879,0.0979
239,1.02734,-0.0105,0.10278
241,1.01904,-0.00317,0.10376
243,1.0249,-0.01074,0.10449
245,1.02222,-0.01343,0.10156
247,1.02563,-0.01538,0.09985
258,1.02759,-0.01807,0.09839
260,1.01855,-0.00342,0.10376
262,1.02197,-0.01172,0.10596
264,1.01611,-0.01343,0.1001
266,1.02173,-0.0105,0.10303
268,1.02197,-0.00903,0.10376
270,1.01953,-0.01343,0.10791
272,1.02759,-0.01221,0.10669
274,1.01489,-0.01489,0.09717
276,1.01953,-0.0105,0.11035
278,1.01221,-0.0083,0.09814
280,1.02051,-0.00903,0.10376
291,1.02295,-0.00977,0.1084
293,1.01636,-0.00342,0.1001
295,1.01563,-0.00537,0.10034
297,1.02393,-0.01099,0.09888
299,1.02026,-0.00439,0.10718
301,1.02148,-0.00488,0.09473
303,1.02637,-0.00049,0.10156
305,1.01855,-0.00952,0.09741
307,1.0188,-0.00635,0.10522
309,1.02173,-0.0083,0.11084
311,1.01782,-0.00513,0.09277
313,1.02368,-0.00806,0.09619
324,1.02026,-0.00293,0.09644
326,1.02222,-0.00464,0.10132
328,1.01929,-0.00562,0.09204
330,1.02515,-0.00977,0.10742
332,1.01489,-0.00122,0.09888
334,1.02319,-0.00757,0.09253
336,1.02808,-0.00415,0.09521
338,1.01611,-0.00366,0.10132
340,1.01929,-0.00806,0.10083
342,1.02783,-0.00659,0.1001
344,1.02002,0.00146,0.09082
346,1.01733,-0.01099,0.1001
357,1.02271,-0.00854,0.10181
