timestamp,ax,ay,az
0,1.021,-0.01074,0.0979
2,1.02002,-0.01099,0.10205
13,1.02197,-0.01025,0.09961
15,1.01758,-0.0105,0.11133
17,1.01929,-0.00879,0.104
19,1.02441,-0.0061,0.09692
21,1.01733,-0.00879,0.11182
23,1.01978,-0.00806,0.09863
25,1.01978,-0.0083,0.10327
27,1.02026,-0.00684,0.10547
29,1.01855,-0.00293,0.09937
31,1.01904,-0.00879,0.09375
33,1.02222,-0.00952,0.09937
35,1.02124,-0.00977,0.10083
46,1.02344,-0.00952,0.0957
48,1.02222,-0.00659,0.09326
50,1.02295,-0.01123,0.1123
52,1.01685,-0.00757,0.11523
54,1.02295,-0.00757,0.1084
56,1.01831,0.00024,0.10474
58,1.01685,-0.00439,0.10303
60,1.01953,-0.01172,0.1062
62,1.02344,-0.01245,0.10376
64,1.02295,-0.0105,0.10498
66,1.0188,-0.00708,0.10352
68,1.01904,-0.00464,0.09985
79,1.02002,0.00415,0.11133
81,1.02002,0.00122,0.10986
83,1.01611,-0.00464,0.09692
85,1.02295,-0.00415,0.10059
87,1.02075,-0.00806,0.10718
89,1.02295,-0.00659,0.104
91,1.02051,0.00269,0.10034
93,1.02173,-0.00195,0.10547
95,1.021,-0.01172,0.1001
97,1.0188,-0.00562,0.10229
108,1.01294,-0.00757,0.09424
110,1.02051,-0.00659,0.09717
112,1.02026,-0.00049,0.10693
114,1.021,-0.0061,0.10864
116,1.02271,-0.00806,0.10376
118,1.02002,-0.00439,0.09961
120,1.01733,-0.00366,0.10693
122,1.02344,-0.01343,0.10205
124,1.01758,-0.00635,0.1084
126,1.02466,-0.00415,0.11011
128,1.01343,-0.00635,0.10205
130,1.01782,-0.01001,0.10327
141,1.02319,-0.00635,0.10498
143,1.02515,-0.0022,0.11377
145,1.01831,-0.00684,0.09521
147,1.02075,-0.00269,0.0957
149,1.01831,-0.00781,0.10645
151,1.02197,-0.01001,0.08936
153,1.02173,-0.00635,0.09229
155,1.0166,-0.00977,0.10181
157,1.01904,-0.00488,0.10669
159,1.01978,-0.01538,0.10596
161,1.02783,-0.0127,0.10889
163,1.02124,-0.00635,0.10718
174,1.01685,-0.00562,0.10718
176,1.02051,-0.00439,0.10376
178,1.02344,-0.01123,0.09912
180,1.01855,-0.00806,0.1062
182,1.02197,-0.00562,0.10962
184,1.02515,-0.00854,0.104
186,1.02026,-0.00391,0.10254
188,1.02637,-0.01001,0.09961
190,1.01831,-0.00684,0.104
192,1.0188,-0.00391,0.09912
194,1.01685,-0.00708,0.10156
196,1.02466,-0.0083,0.09985
207,1.02148,-0.01245,0.09814
209,1.021,-0.00928,0.09229
211,1.02246,-0.01245,0.1062
213,1.0271,-0.01074,0.10449
215,1.02002,-0.01245,0.09741
217,1.021,-0.00635,0.09106
219,1.01685,-0.00781,0.10156
221,1.02661,-0.01221,0.09326
223,1.02588,-0.0144,0.09106
225,1.02686,-0.01416,0.0979
227,1.02075,-0.01514,0.10327
229,1.02686,-0.00659,0.09351
240,1.02051,-0.00952,0.09448
242,1.02295,-0.01196,0.09546
244,1.021,-0.00684,0.09497
246,1.02075,-0.00781,0.10034
248,1.02026,-0.00317,0.09521
250,1.02344,-0.01099,0.10376
252,1.02612,-0.0127,0.09912
254,1.02051,-0.00757,0.09375
256,1.0271,-0.00977,0.10181
258,1.02515,-0.01318,0.09888
260,1.02173,-0.00781,0.10425
262,1.02222,-0.0105,0.104
273,1.01709,-0.00684,0.10352
275,1.01807,-0.00952,0.09644
277,1.02344,-0.00977,0.10059
279,1.02051,-0.01001,0.10229
281,1.02124,-0.0083,0.09229
283,1.01904,-0.00684,0.09961
285,1.02246,-0.00439,0.11011
287,1.01782,-0.01221,0.09741
289,1.01465,-0.01001,0.11011
291,1.02197,-0.01392,0.1062
293,1.02319,-0.01172,0.11206
295,1.02173,-0.0083,0.10986
306,1.01807,-0.00806,0.10791
308,1.02319,-0.01196,0.10449
310,1.02051,-0.00439,0.11157
312,1.01709,0.00146,0.10059
314,1.02271,-0.00708,0.10596
316,1.01514,-0.00635,0.10376
318,1.02002,-0.00806,0.10083
320,1.01392,-0.01221,0.11426
322,1.03052,-0.00586,0.10669
324,1.01831,-0.00391,0.10718
326,1.02344,-0.00977,0.10059
337,1.02246,-0.00708,0.10303
339,1.01807,-0.00049,0.11108
341,1.02124,-0.00366,0.11475
343,1.02295,-0.00317,0.1084
345,1.01733,0.00146,0.09985
347,1.01758,-0.00684,0.10474
349,1.01855,-0.00977,0.1001
351,1.01685,-0.00391,0.11084
353,1.02271,-0.0083,0.10913
355,1.02173,-0.00513,0.10522
357,1.02393,-0.00415,0.11353
359,1.02393,-0.0061,0.09644
370,1.02295,-0.00562,0.1084
372,1.02222,-0.00269,0.10474
374,1.02002,-0.00073,0.10303
376,1.0166,-0.00903,0.11182
378,1.01758,-0.00244,0.10962
380,1.021,-0.00903,0.10791
382,1.01978,0.00098,0.10718
384,1.01514,-0.00488,0.10474
386,1.01367,-0.00439,0.10278
388,1.02026,-0.00293,0.10815
390,1.02051,-0.00464,0.10181
392,1.01782,-0.00439,0.10107
