timestamp,ax,ay,az
0,0.69604,-0.00708,-0.00317
2,0.61841,0.03247,-0.00317
13,0.36768,0.18628,0.03882
15,0.35669,0.20532,0.0498
17,0.33691,0.22681,0.05664
19,0.3374,0.2478,0.1084
21,0.32666,0.26001,0.13721
23,0.33716,0.27295,0.17456
25,0.35962,0.28101,0.22266
27,0.37061,0.29639,0.26562
29,0.36743,0.31274,0.30957
31,0.36279,0.3208,0.36182
33,0.3606,0.31494,0.3728
35,0.36597,0.29834,0.39819
37,0.37134,0.23096,0.44238
48,0.5835,0.30225,0.21777
50,0.54175,0.30298,0.27417
52,0.55103,0.0752,0.1853
54,0.66602,0.02271,0.03662
56,0.66406,0.16284,0.05493
58,0.58594,0.12622,0.08765
60,0.6084,0.06445,0.18506
62,0.63452,0.07275,0.31787
64,0.61694,-0.04224,0.18433
66,0.70776,-0.14014,0.06616
68,0.78052,-0.27075,-0.05176
70,0.92578,-0.37573,-0.16675
72,1.18262,-0.37402,-0.4082
83,1.96362,-0.08521,-0.81934
85,1.99994,0.59009,-2.0
87,1.99994,0.05225,-2.0
89,0.1665,-1.02466,1.58008
91,0.18359,-1.3335,1.99994
93,1.35815,-1.28906,0.58667
95,1.99994,-1.00049,-0.66724
97,1.99994,-0.56396,-0.77734
99,1.99994,-0.24976,0.18188
101,1.87451,-0.08618,0.45386
103,1.99994,0.03076,0.21533
114,1.99994,-0.44824,0.93848
116,1.99994,-0.54907,0.86035
118,1.99994,-0.51367,0.57178
120,1.99994,-0.42798,0.3042
122,1.99994,-0.3125,0.12183
124,1.99994,-0.23926,-0.01489
126,1.93408,-0.13403,-0.16675
128,1.86206,-0.10254,-0.2832
130,1.71167,-0.16919,-0.37183
132,1.54785,-0.24097,-0.40723
134,1.38745,-0.32202,-0.41821
136,1.21118,-0.37915,-0.41528
147,0.57764,-0.12427,-0.73096
149,0.54687,-0.05151,-0.80811
151,0.55786,-0.00684,-0.88306
153,0.5,0.02417,-0.90454
155,0.50244,0.06934,-0.89014
157,0.48633,0.10962,-0.76514
159,0.45825,0.16797,-0.82153
161,0.42139,0.19043,-0.677
163,0.40967,0.18994,-0.50854
165,0.38257,0.2041,-0.4353
167,0.35376,0.21021,-0.36279
178,0.44653,0.14282,-0.14014
180,0.51465,0.15137,-0.07104
182,0.60425,0.16187,0.01978
184,0.72266,0.18066,0.10205
186,0.77295,0.22241,0.177
188,0.75269,0.26318,0.29199
190,0.71533,0.30469,0.35107
192,0.55493,0.34937,0.36084
194,0.54102,0.33862,0.40503
196,0.54517,0.32471,0.52832
198,0.552,0.31299,0.56885
200,0.54297,0.29712,0.57959
202,0.50122,0.30566,0.50781
213,0.38428,0.24927,0.41113
215,0.39404,0.1687,0.39038
217,0.4541,0.10571,0.3374
219,0.62573,0.21362,0.19434
221,0.66406,0.24756,0.05933
223,0.71606,0.16992,-0.0022
225,0.77856,0.15015,0.03076
227,0.7522,0.18311,0.09253
229,0.68677,0.1853,0.21484
231,0.49512,0.14331,0.25854
233,0.45752,0.02759,0.16577
235,0.57446,-0.06616,-0.00488
237,0.68701,-0.16919,-0.02319
248,0.91113,-0.44482,0.00635
250,1.02222,-0.41309,-0.00879
252,1.14502,-0.35278,-0.83521
254,1.99994,0.16431,-2.0
256,1.99994,-0.14673,-2.0
258,0.64624,-1.3894,0.6499
260,0.19141,-1.7793,1.45605
262,0.68262,-1.60278,0.4541
264,1.8606,-1.1665,-0.84033
266,1.99994,-0.66064,-1.7771
268,1.99994,-0.37769,-0.21851
279,1.99994,0.22583,-0.23511
281,1.99994,-0.05835,0.23779
283,1.99994,-0.36499,0.64185
285,1.99994,-0.54443,0.86353
287,1.99994,-0.53125,0.71338
289,1.99994,-0.46021,0.45508
291,1.99994,-0.32959,0.17578
293,1.99994,-0.21753,-0.18921
295,1.99994,-0.14087,-0.52002
297,1.95532,-0.15308,-0.74585
299,1.82715,-0.21289,-0.87354
310,0.72485,-0.53418,-1.21143
312,0.57715,-0.45435,-1.27734
314,0.51929,-0.38232,-1.33032
316,0.48022,-0.26953,-1.42334
318,0.47412,-0.17041,-1.4502
320,0.47729,-0.06738,-1.44629
322,0.47534,0.02051,-1.49487
324,0.48047,0.08447,-1.39697
326,0.45996,0.16455,-1.46802
328,0.45776,0.16919,-1.21753
330,0.47632,0.16699,-0.96289
341,0.36523,0.12646,-0.09082
343,0.34058,0.11499,0.04346
345,0.32373,0.10718,0.10205
347,0.30933,0.11279,0.17993
349,0.31738,0.14746,0.24316
351,0.32666,0.18896,0.32251
353,0.34106,0.21387,0.38672
355,0.3396,0.22534,0.45239
357,0.33545,0.24707,0.49146
359,0.31982,0.27661,0.53247
361,0.30786,0.29834,0.58472
363,0.30103,0.32959,0.6499
365,0.29614,0.35254,0.72217
367,0.29004,0.37817,0.79761
378,0.25977,0.48926,0.97827
380,0.29956,0.49243,0.99072
382,0.47363,0.42407,0.9126
384,0.92847,0.21558,0.66553
386,1.65625,-0.08228,0.05615
388,1.99994,-0.3186,-0.48975
390,1.99994,-0.3125,-0.32056
392,1.54248,0.23535,0.25854
394,0.84497,0.4082,0.49976
396,0.84912,0.40063,0.66138
398,0.73633,0.62476,0.97778
400,0.62573,0.34009,1.11279
411,1.06421,-0.39941,-0.17163
413,0.59521,-0.17212,-0.16919
415,0.39331,-0.16162,-0.03516
417,0.57251,-0.06152,0.95361
419,0.47363,-0.09741,1.01855
421,0.31787,-0.15552,0.74097
423,0.29541,-0.25586,-0.01709
425,1.99994,0.36304,-2.0
427,1.99994,0.36304,-2.0
429,0.88916,-1.65015,0.26392
431,-0.52051,-2.0,1.99994
433,0.0979,-2.0,0.27026
444,1.51489,0.62769,0.50049
446,1.51978,0.6897,0.05713
448,1.92456,0.53418,-0.78857
450,1.99994,0.29053,-1.07397
452,1.99994,0.00562,-0.698
454,1.99994,-0.20703,-0.42505
456,1.99994,-0.28735,-0.23608
458,1.99994,-0.24487,-0.25073
460,1.99994,-0.14526,-0.17578
462,1.99994,-0.1106,0.7417
464,1.99994,-0.11499,1.33643
475,1.99994,-0.31494,0.4292
477,1.94409,-0.43213,-0.04639
479,1.82617,-0.48975,-0.48071
481,1.71021,-0.51831,-0.74219
483,1.54077,-0.55322,-0.96411
485,1.32715,-0.6106,-1.08228
487,1.17236,-0.65649,-1.18237
489,1.06055,-0.64233,-1.23218
491,0.89185,-0.60229,-1.30835
493,0.76929,-0.50586,-1.35767
495,0.63818,-0.43237,-1.44189
506,0.43066,0.13989,-1.22583
508,0.44824,0.2251,-1.29614
