sensor_id,unit,n,ts_min,ts_max,mean,std,min,p50,max,zeros,negatives
energymeter_eau_chaude_gamma_temperature_sortie_tt14,,16558,2025-01-01,2025-12-31 23:54:06,66.3504354390627,18.398456847578228,0.0,71.62,94.3,850,0
energymeter_eau_chaude_recupere_debit_en_m3_h_fm02,m3,16558,2025-01-01,2025-12-31 23:54:06,11.03532129484237,8.43814153810322,0.0,12.82,26.48,5059,0
energymeter_eau_chaude_recupere_energie_en_kwh,kWh,16558,2025-01-01,2025-12-31 23:54:06,3277395.316946491,572211.630951333,0.0,3187987.0,5372600.0,15,0
energymeter_eau_chaude_recupere_puissance_en_kw,KW,16558,2025-01-01,2025-12-31 23:54:06,339.5914965575553,249.82252393486834,0.0,421.34,1210.12,5048,0
energymeter_eau_chaude_recupere_temperature_entree_tt04,,16558,2025-01-01,2025-12-31 23:54:06,89.28752808310182,16.778053136783363,0.0,99.37,103.12,15,0
energymeter_eau_chaude_recupere_temperature_sortie_tt03,,16558,2025-01-01,2025-12-31 23:54:06,71.84804203406208,7.251230120268998,0.0,72.47,98.81,15,0
energymeter_eau_glacee_debit_en_m3_h_fm01,m3,16558,2025-01-01,2025-12-31 23:54:06,58.859708902041305,34.27600498157486,0.0,74.8,145.6,3851,0
energymeter_eau_glacee_energie_en_kwh,kWh,16558,2025-01-01,2025-12-31 23:54:06,1801171.222973789,331132.6188564992,0.0,1741697.0,3090301.0,15,0
energymeter_eau_glacee_puissance_en_kw,KW,16558,2025-01-01,2025-12-31 23:54:06,193.39416113057132,133.63228822526565,0.0,241.35500000000002,492.72,3952,0
energymeter_eau_glacee_temperature_entree_tt02,,16558,2025-01-01,2025-12-31 23:54:06,11.010546563594637,8.353610167818225,0.0,6.35,38.06,15,0
energymeter_eau_glacee_temperature_sortie_tt01,,16558,2025-01-01,2025-12-31 23:54:06,12.341329870757336,5.7395937715322765,0.0,9.2,35.49,15,0
rendement_rendement_electrique,,16558,2025-01-01,2025-12-31 23:54:06,41.27806256794299,11.669167632212483,0.0,42.23,1060.88,436,0
rendement_rendement_thermique,,16558,2025-01-01,2025-12-31 23:54:06,18.953049281314172,12.682312050282363,0.0,21.29,918.24,221,0
rendement_rendement_total,,16558,2025-01-01,2025-12-31 23:54:06,60.269667230341824,23.29441177975245,0.0,63.18,1979.12,50,0
